onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	2	1.75546663720161	1110101111.jpg	2	1	6	0	0.000398050734479879	0.999996159864434
14	5	2	1.43679205398075	0111111111.jpg	2	1	7	0	0.000121429682243821	0.999998719951623
26	5	1	1.33215870009735	0101000011.jpg	1	1	2	1	1.00000002535113	0.000310255218996984
38	5	1	1.91969328490086	0010000011.jpg	1	1	1	0	0.999999225773019	6.05398616992933e-08
50	5	2	3.12126658507623	1111110011.jpg	2	1	6	1	1.00000002535113	2.17646916730358e-11
62	5	2	2.72992148902267	1111111111.jpg	2	1	8	0	0.000398050829961599	1
74	5	1	2.15717865712941	1000100011.jpg	1	1	2	1	1.00000002535113	3.71800195283088e-08
86	5	2	1.76462480891496	1011111111.jpg	2	1	7	0	0.999999625561744	0.000310255616139182
98	5	1	1.69543332397006	1000000111.jpg	1	1	2	0	5.26911075816996e-05	0.999997866585534
110	5	1	1.77478958410211	1010010011.jpg	1	1	3	0	0.305060743434368	6.05396292180173e-08
122	5	2	1.8492926878389	1011101111.jpg	2	1	6	0	0.999998825983951	0.000310254821856737
134	5	2	1.57725896104239	0110111011.jpg	2	1	5	0	5.26911202209041e-05	0.999996586539888
146	5	2	1.93709689192474	1001110111.jpg	1	0	5	0	0.433922270233428	3.71798450239068e-08
158	5	1	2.18512509716675	0000010011.jpg	1	1	1	0	0.000398050638998113	0.999997439909533
170	5	1	2.33893089694902	1100000011.jpg	1	1	2	0	0.305060621474323	0.000310255218996984
182	5	2	2.06719230301678	0111011111.jpg	2	1	6	1	1.00000002535113	3.71800195283088e-08
194	5	1	1.34263493306935	0010101011.jpg	2	0	3	0	0.132372699915541	0.000310253762814278
