onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	2	0111011111.jpg	6	8
14	5	2	0101000011.jpg	6	5
26	5	1	1010111111.jpg	2	1
38	5	2	0000001111.jpg	6	7
50	5	1	0010010011.jpg	2	2
62	5	1	1000100011.jpg	2	4
74	5	2	1101101111.jpg	6	6
86	5	1	1111110011.jpg	2	3
98	5	2	0101000011.jpg	6	5
110	5	1	1111110011.jpg	2	3
122	5	1	0010010011.jpg	2	2
134	5	2	0111011111.jpg	6	8
146	5	2	1101101111.jpg	6	6
158	5	2	0000001111.jpg	6	7
170	5	1	1010111111.jpg	2	1
182	5	1	1000100011.jpg	2	4
194	5	2	1101101111.jpg	6	6
206	5	1	1000100011.jpg	2	4
218	5	1	1111110011.jpg	2	3
230	5	1	1010111111.jpg	2	1
242	5	2	0000001111.jpg	6	7
254	5	1	0010010011.jpg	2	2
266	5	2	0101000011.jpg	6	5
278	5	2	0111011111.jpg	6	8
