onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	2	2.06816737703048	0111011111.jpg	2	1	6	1	1.23211821286702	5.47595137236269e-14
14	5	1	2.19203910301439	0010101011.jpg	1	1	3	0	0.000322563001188382	1.30253684825262e-07
26	5	2	4.40233036899008	0101010111.jpg	2	1	6	0	0.000322562997395808	2.22376460132778e-07
38	5	2	3.02189480001107	0101011111.jpg	2	1	7	0	0.000322563095309564	3.77641521089429e-07
50	5	2	3.45657299994491	0111001111.jpg	2	1	7	0	0.00032256317028797	1.45003953923434e-07
62	5	1	1.80535338190384	1010111111.jpg	1	1	2	1	1.23211821286702	8.54007759592889e-08
74	5	1	1.038594661979	0010110011.jpg	1	1	1	0	1.23211708120589	0.585735040244318
86	5	1	1.8905534800142	1000110011.jpg	1	1	1	0	0.00032256317028797	1.45003953923434e-07
98	5	2	1.72695136396214	0101001111.jpg	2	1	8	0	1.232117020914	1
110	5	1	NaN	0010111011.jpg	NaN	0	2	0	1.23211670719798	0.344913568956887
122	5	2	3.76525636506267	1101101111.jpg	2	1	6	1	1.23211821286702	0.357601264714364
134	5	2	2.8642107269261	1001001111.jpg	2	1	6	0	5.23721088937996e-05	2.32746411385676e-11
146	5	1	1.1237628038507	0110110011.jpg	1	1	2	0	5.23721088937996e-05	2.32746411385676e-11
158	5	1	3.98230604804121	1011100111.jpg	2	0	3	0	1.37107911266716e-08	1.21330511420565e-18
170	5	2	3.31384226703085	1101111111.jpg	2	1	5	0	0.00032256317028797	1.35045085550236e-07
182	5	2	1.94954557507299	0110011111.jpg	1	0	5	0	5.23721084649203e-05	1.21350878810433e-18
194	5	1	4.24884910415858	1111110011.jpg	1	1	2	1	1.23211821286702	2.22976576941243e-21
