onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	1	3.33453351189382	0000101111.jpg	1	1	1	0	5.43949868839946e-05	8.70859457554384e-05
14	5	2	2.14006885606796	1111110011.jpg	2	1	8	0	0.00587123560465714	1
26	5	2	1.54377572005615	1111111111.jpg	2	1	6	1	1.00000000002595	0.000420579695672188
38	5	2	2.38748862198554	0111010011.jpg	2	1	6	1	1.00000000002595	1.85292912271478e-08
50	5	2	1.96295874100178	1100110111.jpg	1	0	5	0	3.99682564114353e-05	2.20860352748243e-13
62	5	2	2.14274207199924	1100110011.jpg	1	0	6	0	2.80776735937856e-06	4.54173487321939e-15
74	5	1	2.22006076900288	0000111111.jpg	1	1	2	0	9.03102749691025e-07	1.76736290850885e-06
86	5	2	2.22504607588053	1010110011.jpg	2	1	6	1	1.00000000002595	4.12681140249843e-13
98	5	2	2.4286050000228	1011000011.jpg	2	1	5	0	2.60130011754344e-08	5.0753117879379e-08
110	5	1	1.95510731008835	0010011111.jpg	1	1	2	1	1.00000000002595	2.11117880289358e-13
122	5	1	2.38768199901097	0000001011.jpg	1	1	1	0	0.0835763920195485	0.0205638298919376
134	5	1	2.398135967087	0110000111.jpg	1	1	3	0	3.99682564114353e-05	6.10982331838408e-15
146	5	2	2.26977204997092	1101100011.jpg	2	1	6	1	1.00000000002595	2.11117880289358e-13
158	5	1	2.34538898500614	0101001111.jpg	1	1	2	1	1.00000000002595	4.12681140249843e-13
170	5	2	2.25087727303617	1011110011.jpg	2	1	7	0	0.000169115268016432	0.0287168626403958
182	5	2	2.87042405083776	1111010011.jpg	2	1	7	0	5.43949868839946e-05	8.70859457554384e-05
194	5	1	1.9782435700763	0000000011.jpg	1	1	2	1	1.00000000002595	0.000420579695672188
206	5	1	NaN	0000001111.jpg	NaN	0	0	0	0.00587123560465714	1
218	5	2	1.73737169499509	1111011011.jpg	2	1	6	0	1.02642849518701e-05	1.78111668670762e-06
230	5	1	1.71661729505286	1000101111.jpg	1	1	2	1	1.00000000002595	1.85292912271478e-08
242	5	1	1.9544684200082	0000100111.jpg	1	1	2	0	1.02642849518701e-05	1.78111668670762e-06
254	5	1	2.04642953304574	0001011011.jpg	1	1	3	0	3.35951937980038e-05	5.99734876838376e-15
