onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	2	3.75403760606423	0101000011.jpg	2	1	6	1	1.53928096808566	0.402392941371754
14	5	1	1.67829274106771	0100110011.jpg	1	1	3	0	0.000206229139382724	0.236520847678558
26	5	1	3.8887374359183	1010110011.jpg	1	1	0	0	1.53928093457162	1.01398552784664
38	5	1	NaN	1010111111.jpg	NaN	0	2	1	1.53928096808566	0.402392941371754
50	5	1	NaN	1110110011.jpg	NaN	0	1	0	0.000206230997416415	0.367963072309066
62	5	2	2.14660044992343	0000011111.jpg	2	1	5	0	1.53926709996727	0.238045574881176
74	5	1	3.55076747690327	1000100011.jpg	2	0	2	1	1.53928096808566	0.40239224471522
86	5	2	1.60135811893269	0101001111.jpg	2	1	8	0	1.53928093457162	1.01398552784664
98	5	2	2.8525884388946	0111011111.jpg	2	1	6	1	1.53928096808566	0.40239224471522
110	5	1	2.72783678513952	0010010011.jpg	1	1	2	1	1.53928096808566	1.01398498179696
122	5	1	2.52359443483874	1101110011.jpg	2	0	3	0	1.53926706645356	0.402391834872515
134	5	2	2.62279963097535	0000001111.jpg	1	0	6	1	1.53928096808567	0.238045498348939
146	5	1	3.09903733199462	1111110011.jpg	2	0	2	1	1.53928096808567	0.238045498348939
158	5	2	3.16569003998302	0001101111.jpg	2	1	6	0	0.000206230997416407	0.367962969634758
170	5	1	2.56130524585024	0010111011.jpg	1	1	2	0	1.53928089570901	1.01398486951735
182	5	2	4.18044636421837	1111101111.jpg	2	1	5	0	1.53926706645356	0.402392990648199
194	5	2	2.67233687383123	1101101111.jpg	2	1	6	1	1.53928096808566	1.01398498179696
206	5	2	1.98706818092614	0001001011.jpg	1	0	6	0	0.000206230990411759	0.236520847678553
218	5	1	3.46122735505924	0010110111.jpg	1	1	2	0	1.53928090238483	0.402393035317331
230	5	2	3.58589025796391	1101001111.jpg	2	1	7	0	1.53928094799073	1.01398534095466
242	5	1	4.10817101201974	1011110011.jpg	1	1	1	0	0.000206230997416401	0.367963759081973
254	5	2	2.40001269709319	0101011111.jpg	2	1	7	0	1.53926706645356	1.01398272249084
