onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	1	1.56364008504897	1000100011.jpg	1	1	2	1	13.0611738888767	2.52032192060661
14	5	2	1.29470124514773	0001111111.jpg	2	1	5	0	13.0611564594661	2.52032190592715
26	5	2	1.24948708410375	1101101111.jpg	2	1	6	1	13.0611738888767	2.575624782508
38	5	1	1.42988196294755	1110110111.jpg	2	0	2	0	13.0611614872513	2.52335863071242
50	5	1	1.45729574910365	1011010111.jpg	1	1	3	0	13.0611614640076	2.5203218862272
62	5	1	1.23542906995863	1011110011.jpg	1	1	1	0	13.061163181072	2.51224720415373
74	5	2	1.04839397384785	0111001111.jpg	1	0	7	0	13.0611671440309	2.57562476269228
86	5	2	2.25860556820408	0101000111.jpg	1	0	7	0	13.0611721076496	2.57562479663726
98	5	2	1.365906490013	0111000111.jpg	1	0	6	0	13.0611654502104	2.57562474751868
110	5	1	1.47347054397687	1010111011.jpg	1	1	1	0	13.0611721076496	2.57562479663726
122	5	2	1.70812594285235	0001001011.jpg	2	1	6	0	13.0611614872513	2.52335863071242
134	5	1	1.48012238298543	1011111011.jpg	1	1	2	0	13.0611614872513	2.51224720166876
146	5	2	2.1153404051438	1111001011.jpg	2	1	5	0	13.0611655143695	2.52335863454661
158	5	1	1.52701539103873	1111110011.jpg	2	0	2	1	13.0611738888767	2.51224719338269
170	5	2	1.48121997993439	0111011111.jpg	1	0	6	1	13.0611738888767	2.52032192060661
182	5	1	NaN	1100111011.jpg	NaN	0	3	0	13.0611547424145	2.57562468174903
194	5	2	1.36764811095782	0101001111.jpg	1	0	8	0	13.0611738014709	2.57562481181086
