onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	2	1.43149535194971	1011001111.jpg	1	0	5	0	13.0611564594661	2.575624688939
14	5	2	1.59510399098508	0001001111.jpg	2	1	7	0	13.0611630936682	2.57562474604117
26	5	1	1.42909197998233	1010110011.jpg	1	1	0	0	13.0611738014709	2.57562481181086
38	5	1	1.53733047796413	1000100011.jpg	1	1	2	1	13.0611738888767	2.52032192060661
50	5	1	1.86102390289307	1010000011.jpg	1	1	2	0	13.0611671672639	2.52032193135393
62	5	1	1.28012840100564	1010100011.jpg	1	1	1	0	13.0611672314344	2.52032193959602
74	5	2	1.35452630114742	1101011111.jpg	2	1	6	0	13.0611672081905	2.52032193650952
86	5	2	1.83091771393083	0111011111.jpg	1	0	6	1	13.0611738888767	2.52032192060661
98	5	1	2.73012502118945	1111110011.jpg	2	0	2	1	13.0611738888767	2.51224719338269
110	5	2	1.33434762898833	0111010111.jpg	1	0	5	0	13.0611721950547	2.52032191474044
122	5	1	2.24082084698603	0011110011.jpg	2	0	2	0	13.061163157828	2.51224720284626
134	5	1	1.09093455201946	0011100011.jpg	2	0	3	0	13.0611564594661	2.52335859284098
146	5	2	NaN	0000001111.jpg	NaN	0	6	1	13.0611738888767	2.51224719338269
158	5	2	0.954010971123353	0101011111.jpg	1	0	7	0	13.0611672314344	2.52032193959602
170	5	1	1.34945673285984	1110110011.jpg	2	0	1	0	13.0611630936682	2.57562474604117
182	5	2	2.48865881492384	0111101111.jpg	1	0	6	0	13.0611672081905	2.57562474137306
194	5	1	1.46077794698067	0010101011.jpg	2	0	3	0	13.0611655143695	2.52032193064335
