onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	2	2.3978669878561	0001101011.jpg	2	1	5	0	363362536.70432	5.89000723414944
14	5	1	1.40189549396746	1010110011.jpg	1	1	0	0	372306145.899003	6.61563495386664
26	5	1	1.86100191599689	1010100011.jpg	1	1	1	0	151059.558959505	4.86797619783828
38	5	1	2.15250869398005	1010111111.jpg	2	0	2	1	372306148.109238	5.74546151287248
50	5	2	2.30763140902855	0101000011.jpg	1	0	6	1	372306148.109238	5.74546151287248
62	5	2	3.42252654209733	0001100111.jpg	1	0	5	0	363362536.51182	5.89000724994424
74	5	2	2.41048004198819	0111011111.jpg	2	1	6	1	372306148.109238	5.53702053952051
86	5	1	2.98167961696163	0010100011.jpg	2	0	2	0	151059.558833798	4.86797624962194
98	5	2	1.77689716499299	0111001111.jpg	1	0	7	0	151059.558243212	5.40213235154238
110	5	1	2.12488308502361	1010011111.jpg	2	0	3	0	372306146.286883	5.74545967586927
122	5	1	1.46326263202354	1110100011.jpg	1	1	2	0	151059.553635561	4.95521071267235
134	5	1	2.58647715300322	1111110011.jpg	2	0	2	1	372306148.109238	6.31579355119602
146	5	2	2.47810724400915	0000001111.jpg	1	0	6	1	372306148.109238	6.31579355119602
158	5	2	2.42573073902167	1101001111.jpg	1	0	7	0	372306146.286883	6.61563473876102
170	5	2	2.90034449589439	1101101111.jpg	1	0	6	1	372306148.109238	6.61563212803871
182	5	1	2.04721169406548	1000100011.jpg	1	1	2	1	372306148.109238	5.53702053952051
194	5	2	3.3873071600683	0101001111.jpg	1	0	8	0	372306145.899003	6.61563495386664
206	5	1	2.7102998578921	1000110011.jpg	2	0	1	0	151059.558243212	5.40213235154238
218	5	1	1.81790602114052	0010010011.jpg	2	0	2	1	372306148.109238	6.61563212803871
230	5	2	1.1328090201132	1101000111.jpg	2	1	6	0	363362547.595187	6.14258800097201
242	5	1	2.66348143201321	0110100011.jpg	2	0	3	0	151059.553761264	4.95521078007189
254	5	2	1.55587901500985	0101101011.jpg	1	0	6	0	363362547.595187	6.14258595522488
