onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	2	1.95807997102384	1111110011.jpg	2	1	6	1	1.00000000000005	0.00318080523457462
14	5	2	1.29786298499675	1011101111.jpg	2	1	6	0	3.71047175165505e-05	0.00571367926279793
26	5	1	2.42147413900238	1000100011.jpg	1	1	2	1	1.00000000000005	5.39796463118623e-11
38	5	1	2.27937867000583	0010000011.jpg	1	1	1	0	0.0311973663911288	9.45981491959911e-14
50	5	2	3.21174407398212	0101110111.jpg	2	1	5	0	0.000159586294018005	1.59468786776509e-15
62	5	1	1.19022978498833	1001000011.jpg	1	1	2	0	0.00148303159372226	5.5056772849261e-11
74	5	1	1.33785433199955	1000010111.jpg	1	1	3	0	0.000159586294018005	0.00029384461288191
86	5	2	1.18262942801812	1111110111.jpg	2	1	7	0	0.161573999343668	0.102724766288744
98	5	2	1.01659384500817	0111111111.jpg	2	1	7	0	0.000826511949485546	0.164103514982507
110	5	1	1.53244672098663	0000010011.jpg	1	1	1	0	0.000803198504516054	0.0578279682771771
122	5	1	2.22242865999578	0010010011.jpg	1	1	2	1	1.00000000000005	5.47041877645805e-15
134	5	1	1.97090141099761	0110100011.jpg	2	0	3	0	1.19116880724848e-06	1.0127115503867e-14
146	5	2	2.10950436501298	1101101111.jpg	2	1	6	1	1.00000000000005	5.47041877645805e-15
158	5	1	1.47318092398928	0000000011.jpg	1	1	0	0	0.0257457148164872	1
170	5	1	1.58822005600086	1100000011.jpg	1	1	2	0	3.81817100471227e-05	0.0162142105012853
182	5	2	1.27143106001313	1111101011.jpg	2	1	6	0	0.00497108756047086	0.00179060523422203
194	5	2	1.2590958159999	0111110011.jpg	2	1	5	0	0.0321028933849251	0.000521981319468453
