onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	2	1.97200484096538	0000001111.jpg	2	1	6	1	1.2076698775363	0.000405823260588117
14	5	2	1.43154219305143	1010000011.jpg	2	1	6	0	0.000664372468100285	1.49129116702293e-07
26	5	1	0.945529768941924	0111011111.jpg	1	1	2	1	1.2076698775363	0.0291908175313614
38	5	1	1.07657766900957	1110101111.jpg	2	0	2	0	1.8292572030758e-05	3.07775759069723e-17
50	5	2	2.36038707196712	0000000111.jpg	2	1	7	0	1.20766192326833	0.0211601499623156
62	5	2	2.39568350999616	0101000011.jpg	2	1	6	1	1.2076698775363	3.0777575906945e-17
74	5	1	2.67949942895211	1110111011.jpg	1	1	2	0	0.0332513615292445	3.7382281053574e-14
86	5	2	1.57816402195022	1000100011.jpg	2	1	6	1	1.2076698775363	0.0291908175313614
98	5	1	1.20547085395083	1011111111.jpg	1	1	1	0	0.0332514171897496	8.71078907321763e-06
110	5	2	1.40104317199439	0000000011.jpg	2	1	8	0	1.20766691116202	1
122	5	2	2.32463739695959	0010010011.jpg	2	1	6	1	1.2076698775363	1.29903590678136e-12
134	5	2	1.28817596903536	1100000011.jpg	2	1	6	0	0.0332514408974038	8.7107751422862e-06
146	5	1	2.51423656602856	1111110011.jpg	1	1	2	1	1.2076698775363	0.000405823260588117
158	5	2	2.23850202700123	0100001111.jpg	2	1	5	0	0.0332514988646958	3.53504082398852e-09
170	5	1	1.62565309798811	1010111111.jpg	2	0	2	1	1.2076698775363	3.0777575906945e-17
182	5	1	1.99751454696525	0110101111.jpg	1	1	3	0	1.8292565526138e-05	3.07775759069455e-17
194	5	1	1.87301508104429	1111111111.jpg	1	1	0	0	1.20766691116202	1
206	5	1	1.70761984190904	1111110111.jpg	1	1	1	0	1.20766488961415	0.019178657113057
218	5	2	1.23862917500082	0100000011.jpg	2	1	7	0	0.0332514171897496	8.71078907321763e-06
230	5	2	2.17851867200807	1001100011.jpg	2	1	5	0	0.0332514171897496	5.15695427174409e-14
242	5	1	1.34894182905555	1100111011.jpg	2	0	3	0	1.82924740701432e-05	4.2479561301269e-14
254	5	1	1.7121783499606	1101101111.jpg	1	1	2	1	1.2076698775363	1.29903590678136e-12
