onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	1	2.30872706999071	1010000011.jpg	1	1	2	0	0.0906388791874782	0.000325162388721424
14	5	2	4.51765318703838	1111111111.jpg	2	1	8	0	1.59998979666061	1.00000002444088
26	5	1	3.27233997895382	0010010011.jpg	2	0	2	1	1.59999264227302	0.000313988732223183
38	5	2	4.57177740801126	1011110111.jpg	1	0	6	0	0.0970191004030894	0.000313988872286472
50	5	2	4.5433207959868	1101101111.jpg	1	0	6	1	1.59999264227302	0.000313988732223183
62	5	2	2.28288893296849	0111011111.jpg	2	1	6	1	1.59999264227302	0.999998430085939
74	5	1	2.78193153708708	0000001111.jpg	1	1	2	1	1.59999264227302	0.000382222350260142
86	5	2	3.58413129590917	1110111111.jpg	2	1	7	0	1.59998808933819	0.999999143824769
98	5	2	3.02818115707487	1111110011.jpg	1	0	6	1	1.59999264227302	0.000382222350260142
110	5	1	4.59952670102939	0100000011.jpg	1	1	1	0	1.59999093490201	0.56924052933026
122	5	2	NaN	1011111011.jpg	NaN	0	6	0	0.097019272949797	0.569239163092599
134	5	2	1.94328155997209	1011111111.jpg	2	1	7	0	1.59999093490201	0.56924052933026
146	5	2	2.40102291596122	0110011111.jpg	2	1	5	0	1.59999093490201	0.999997549471229
158	5	1	2.88469455996528	0101000011.jpg	1	1	2	1	1.59999264227302	0.56924002804794
170	5	1	3.94462294108234	1110000011.jpg	2	0	3	0	0.0906387502277934	0.000325162012394004
182	5	1	2.36327416100539	0000000011.jpg	1	1	0	0	1.59998979666061	1.00000002444088
194	5	1	2.6311290130252	1000100011.jpg	1	1	2	1	1.59999264227302	0.999998430085939
206	5	1	2.20157427096274	1000000011.jpg	1	1	1	0	1.59999093490428	0.999999310701473
218	5	2	2.66912570502609	1010111111.jpg	2	1	6	1	1.59999264227302	0.56924002804794
230	5	1	NaN	0010011011.jpg	NaN	0	3	0	0.0970192039306634	0.569237754243123
242	5	2	2.26051462395117	0011011111.jpg	2	1	5	0	1.59998808933819	0.569239621758923
254	5	1	2.23916137393098	1000001011.jpg	1	1	2	0	0.0970193074593555	0.000382222720995143
