onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	1	0.973796770907938	0011011111.jpg	1	1	3	0	5.58267913475659	1.65796968158932
14	5	2	1.82469744503032	0011100011.jpg	1	0	5	0	5.212226790836	1.62277542408287
26	5	2	0.476375640020706	0010000011.jpg	2	1	7	0	5.21222696256626	1.62314034792691
38	5	1	1.01478412607685	0111101011.jpg	1	1	3	0	5.2122269625496	1.6227754325497
50	5	1	0.103411911055446	1010111111.jpg	2	0	2	1	5.58267931868918	1.64138207087151
62	5	2	0.671506870072335	0010000111.jpg	1	0	6	0	5.21222696255256	1.6231403470048
74	5	2	0.474121131934226	1000100011.jpg	1	0	6	1	5.58267931868918	1.65796968682609
86	5	1	1.02925991197117	1111110111.jpg	2	0	1	0	5.5826793186744	1.65796964067313
98	5	1	1.324282245012	1111111111.jpg	1	1	0	0	5.58267931868799	1.65796970968441
110	5	2	0.680169653962366	1010010011.jpg	1	0	5	0	5.58267931868574	1.64138200299706
122	5	2	0.579075980000198	0000001011.jpg	1	0	7	0	5.5826793186744	1.65796964067313
134	5	1	0.607048330944963	1111011111.jpg	1	1	1	0	5.58267931868574	1.6579696917168
146	5	2	0.846390706952661	0000001111.jpg	1	0	6	1	5.58267931868918	1.65796963460992
158	5	2	0.48096287692897	0100001011.jpg	2	1	6	0	5.58267913474181	1.65796963543637
170	5	1	0.844429166987538	1110110111.jpg	1	1	2	0	5.58267913474082	1.64138202434783
182	5	1	0.896230084937997	1111100111.jpg	2	0	2	0	5.21222696255256	1.62277542592916
194	5	1	0.634677566005848	1111110011.jpg	1	1	2	1	5.58267931868918	1.65796963460992
