onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	1	3.50418502802495	0000000111.jpg	1	1	1	0	1.65435651093859	1.05464573437672
14	5	1	2.13154799398035	0100101111.jpg	1	1	2	0	1.64060373422614	0.937873543968801
26	5	1	2.7263064699946	0010101111.jpg	1	1	2	0	1.64060347842266	0.937874030082593
38	5	2	2.93776202993467	1111000011.jpg	2	1	6	0	1.66769958744427	0.539036761682986
50	5	1	1.21215396199841	1000101111.jpg	1	1	2	1	1.68167991154312	0.467808121403481
62	5	2	2.25554244709201	1111100011.jpg	2	1	7	0	1.68167981088241	0.579602433692574
74	5	2	2.07605451298878	1111111111.jpg	2	1	6	1	1.68167991154312	0.638045869413297
86	5	2	2.34370294597466	1010110011.jpg	2	1	6	1	1.68167991154312	1.03453871312655
98	5	1	2.49851064605173	0000011111.jpg	2	0	1	0	1.68167981088241	0.579602433692574
110	5	1	2.54897030000575	0100100111.jpg	1	1	3	0	1.64060359678821	0.937872716638201
122	5	1	2.49696764303371	0101001111.jpg	1	1	2	1	1.68167991154312	1.03453871312655
134	5	2	2.45215370797087	1110110111.jpg	2	1	6	0	1.65435667297302	0.628846990016385
146	5	2	2.45587454491761	1101100011.jpg	2	1	6	1	1.68167991154312	0.579602373399819
158	5	1	2.00359400198795	0000000011.jpg	1	1	2	1	1.68167991154312	0.638045869413297
170	5	2	4.49438335397281	1111110011.jpg	2	1	8	0	1.65435664952859	1.0546466963565
182	5	1	3.81713253201451	0000001111.jpg	2	0	0	0	1.65435664952859	1.0546466963565
194	5	2	3.90875834901817	0111010011.jpg	1	0	6	1	1.68167991154312	0.467808121403481
206	5	2	1.76840087794699	1101101011.jpg	2	1	5	0	1.68167976235615	0.579602024808033
218	5	1	2.1793961719377	0010011111.jpg	1	1	2	1	1.68167991154312	0.579602373399819
230	5	1	2.23012443596963	1110001111.jpg	1	1	3	0	1.66769938761152	0.469811181616092
242	5	2	1.76225872000214	1100100011.jpg	2	1	5	0	1.65435681156309	0.572361862588078
254	5	2	1.89274808694609	1101110011.jpg	2	1	7	0	1.65435655361521	1.05464652997168
