onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	2	2.77645150199533	1101100011.jpg	2	1	6	1	3.12444064952051	0.97984481014928
14	5	2	2.15606785402633	1110110011.jpg	2	1	7	0	3.1244406234598	1.2113250305939
26	5	2	2.2946144270245	1111000011.jpg	1	0	6	0	1.03507185886289	1.00864321851909
38	5	1	1.38628699700348	0010010111.jpg	2	0	3	0	3.12444064033112	0.979844787340384
50	5	2	3.16525703697698	1111111111.jpg	2	1	6	1	3.12444064952051	1.21132519895891
62	5	2	1.57597546995385	1111110011.jpg	2	1	8	0	3.12444063654587	1.21132533324967
74	5	1	2.82835853297729	1000001111.jpg	2	0	1	0	1.04385751336236	1.21132512463477
86	5	1	NaN	1001001111.jpg	NaN	0	2	0	1.04385750899017	1.21132482197912
98	5	1	2.80283251602668	0000000111.jpg	1	1	1	0	3.12444063775353	1.21132528015614
110	5	1	2.80606671998976	0010011111.jpg	2	0	2	1	3.12444064952051	0.97984481014928
122	5	1	1.72901743499096	0101011111.jpg	1	1	3	0	3.0981436989039	1.15450274849017
134	5	2	2.4689401150099	1101110111.jpg	2	1	6	0	3.09814368805183	1.00864355970679
146	5	2	2.11142488603946	0111101011.jpg	2	1	5	0	1.03507185523742	1.15450285942108
158	5	1	2.72342391603161	0000000011.jpg	1	1	2	1	3.12444064952051	1.21132519895891
170	5	1	3.00544178398559	0000011011.jpg	1	1	2	0	3.09814369033729	1.1545030192397
182	5	2	1.18584458401892	1111110111.jpg	1	0	7	0	3.12444064033112	1.21132525205243
194	5	2	2.757061618031	1100010011.jpg	1	0	5	0	1.03507185033516	1.1545027128543
