onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	2	1.04243248188868	0000001011.jpg	1	0	7	0	1.78680069608599	0.000390306999786072
14	5	1	0.877512849867344	1111101111.jpg	1	1	1	0	1.85656427898924	0.99999909178164
26	5	1	1.31346930703148	1111110111.jpg	1	1	1	0	1.78680069608599	0.000390306999786072
38	5	2	0.860099572921172	0000001111.jpg	2	1	6	1	1.85656478737335	0.000390306073963641
50	5	1	1.09542417991906	1101111011.jpg	1	1	2	0	1.786800477711	0.999996158173454
62	5	2	1.63485924783163	1000100111.jpg	1	0	5	0	1.78680069608599	0.000269842477876808
74	5	1	2.48671694495715	1111110011.jpg	1	1	2	1	1.85656478737335	0.000390306073963641
86	5	2	1.09753669891506	0010000111.jpg	2	1	6	0	1.786800477711	0.999996158173454
98	5	2	1.39000938390382	0000000011.jpg	2	1	8	0	1.8565640205944	1.00000000947884
110	5	1	1.42478539003059	1111001111.jpg	1	1	2	0	0.254968209759302	0.999995971669574
122	5	2	0.931680934038013	1010001011.jpg	1	0	5	0	0.245387312550828	0.626779146861951
134	5	1	1.19878401886672	1011010111.jpg	1	1	3	0	0.245387256707461	0.000390305786826612
146	5	2	3.65912975603715	1000100011.jpg	1	0	6	1	1.85656478737335	0.000269841966573308
158	5	2	1.88662717584521	0000010011.jpg	2	1	7	0	1.85656427898924	0.99999909178164
170	5	2	1.73755944892764	0000110011.jpg	2	1	6	0	0.254968209759302	0.999995971669574
182	5	1	3.15614059800282	0111011111.jpg	2	0	2	1	1.85656478737335	0.000269841966573308
194	5	1	0.999808357097208	1111100011.jpg	1	1	3	0	1.85656452897702	0.000390305763538483
