onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	2	4.09218949102797	1100000011.jpg	2	1	6	0	0.00180149930902244	0.000181988105803208
14	5	2	3.73832661099732	0100000011.jpg	2	1	7	0	0.0492267041836455	0.999963143191221
26	5	2	3.78988982690498	0010010011.jpg	2	1	6	1	1.28571344849081	0.999994835974956
38	5	2	1.9600785470102	0101000011.jpg	1	0	6	1	1.28571344849081	0.000246279953400562
50	5	1	2.97294637700543	1111110011.jpg	1	1	2	1	1.28571344849081	0.352889423601772
62	5	1	2.57582950312644	1111111111.jpg	1	1	0	0	1.28570956306562	1.00000000638573
74	5	2	3.50674422108568	0000000111.jpg	2	1	7	0	1.28571085820014	0.352890506041424
86	5	2	2.47863558796234	1000100011.jpg	1	0	6	1	1.28571344849081	0.000159972053637652
98	5	1	NaN	0111011111.jpg	NaN	0	2	1	1.28571344849081	0.000159972053637652
110	5	1	3.31679376005195	1110111111.jpg	1	1	1	0	0.0492268529471331	0.000246286861085757
122	5	2	1.75982519099489	0000001111.jpg	2	1	6	1	1.28571344849081	0.352889423601772
134	5	2	3.18050635815598	1000001111.jpg	1	0	5	0	0.0470516547534482	0.000181989201443556
146	5	1	2.70975673687644	1010011111.jpg	1	1	3	0	0.0470517969439268	0.000181989651515409
158	5	1	2.99412020901218	1101101111.jpg	1	1	2	1	1.28571344849081	0.999994835974956
170	5	1	1.85378299397416	0100111111.jpg	2	0	3	0	0.00180149749430285	0.218920382597006
182	5	2	1.57731224317104	1011000011.jpg	1	0	5	0	0.00180149749430285	0.218920382597006
194	5	2	4.16395655693486	1000001011.jpg	2	1	6	0	0.0470517021499968	0.000181991047711881
206	5	2	3.98265891009942	0000000011.jpg	2	1	8	0	1.28570956306562	1.00000000638573
218	5	1	1.45052229007706	1101111111.jpg	1	1	1	0	1.28571215334172	0.999996939125547
230	5	1	3.61306066298857	1110101111.jpg	1	1	2	0	0.0492268033590222	0.000246286466979215
242	5	1	2.73686077608727	1101111011.jpg	1	1	2	0	1.28570826793249	0.352889423634531
254	5	1	2.06035146000795	1010111111.jpg	1	1	2	1	1.28571344849081	0.000246279953400562
