onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	2	3.33927221503109	1011111111.jpg	2	1	7	0	8.66691293654077e-05	0.0023106039921726
14	5	1	3.6789242309751	1100001011.jpg	1	1	3	0	2.46567116618655e-09	1.76306573497358e-09
26	5	1	2.81013462104602	0001000011.jpg	1	1	1	0	0.000975532812601575	0.00123965557882101
38	5	1	3.41436562099261	0000001111.jpg	1	1	2	1	1	3.41439231331991e-06
50	5	1	2.58553922898136	1000000011.jpg	1	1	1	0	0.00016698549854623	0.000259449525074287
62	5	2	2.77941106201615	1101101111.jpg	2	1	6	1	1	2.07650898685729e-08
74	5	1	2.71997353399638	0100100011.jpg	1	1	2	0	1.89834827765361e-08	1.35835185970371e-06
86	5	1	3.09933628002182	0000000011.jpg	1	1	0	0	8.63227475445392e-08	1
98	5	2	2.92668169102399	0111011111.jpg	2	1	6	1	1	1.52524511373752e-07
110	5	1	2.85790599999018	0010010011.jpg	1	1	2	1	1	2.07650898685729e-08
122	5	2	3.06848737702239	1111110011.jpg	2	1	6	1	1	3.41439231331991e-06
134	5	2	3.18453917698935	1101011111.jpg	2	1	6	0	5.12170345300377e-09	3.89187536796135e-07
146	5	1	2.77920431300299	1000100011.jpg	1	1	2	1	1	1.52524511373752e-07
158	5	2	3.67876980395522	1010111111.jpg	2	1	6	1	1	2.86435312934287e-06
170	5	2	3.76973851094954	0011111111.jpg	2	1	6	0	1.63300602391222e-07	5.99485108403983e-07
182	5	2	2.17258348601172	1111111111.jpg	2	1	8	0	8.63227475445392e-08	1
194	5	1	4.16918650898151	0000101111.jpg	1	1	3	0	0.00016698549854623	2.00724407987006e-09
206	5	2	2.65264538995689	1111011111.jpg	2	1	7	0	4.62414901802468e-06	0.000587877396691619
218	5	1	3.54307641700143	0000101011.jpg	1	1	2	0	6.98208966364431e-08	1.7289278242517e-06
230	5	2	4.31458952295361	1110110011.jpg	2	1	5	0	8.66691293654078e-05	4.2326704868087e-09
242	5	1	2.76498686301056	0101000011.jpg	1	1	2	1	1	2.86435312934287e-06
254	5	2	4.88147137599299	1000111111.jpg	2	1	5	0	3.05481942890354e-05	1.89626366789991e-09
