onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	1	NaN	0010010011.jpg	NaN	0	2	1	1.00000000000151	3.01488979180062e-05
14	5	1	4.12403801601613	0000001011.jpg	1	1	1	0	7.45702420806405e-05	0.00655949935662449
26	5	1	2.89517934300238	0000100011.jpg	1	1	1	0	0.000289721211874438	0.00575875228543296
38	5	1	NaN	0010011011.jpg	NaN	0	3	0	0.00214627926332669	1.97771078145122e-07
50	5	1	4.35760397301055	1000100011.jpg	1	1	2	1	1.00000000000151	2.99748197429029e-05
62	5	1	NaN	0110000011.jpg	NaN	0	2	0	6.16413260070051e-07	3.93407170358632e-05
74	5	2	3.73198174900608	1101101111.jpg	2	1	6	1	1.00000000000151	3.01488979180062e-05
86	5	1	4.79213383799652	0000000011.jpg	1	1	0	0	2.61906796751727e-06	1
98	5	1	4.94780886400258	0000110011.jpg	1	1	2	0	4.94263676860851e-06	3.10199826936171e-05
110	5	1	NaN	0000001111.jpg	NaN	0	2	1	1.00000000000151	4.57953802964977e-05
122	5	2	4.26455433899537	0111011111.jpg	2	1	6	1	1.00000000000151	2.99748197429029e-05
134	5	2	NaN	1110110111.jpg	NaN	0	6	0	5.54030221990094e-07	4.19277809640412e-05
146	5	1	4.31253107800148	0101000011.jpg	1	1	2	1	1.00000000000151	4.49278014742921e-05
158	5	2	NaN	1010111111.jpg	NaN	0	6	1	1.00000000000151	4.49278014742921e-05
170	5	2	4.15869239502354	0111110111.jpg	2	1	6	0	1.41632745928115e-05	3.4142779716813e-05
182	5	2	NaN	1011001111.jpg	NaN	0	5	0	3.69850015139895e-09	2.18043186051752e-07
194	5	2	4.56489310698817	1111110111.jpg	2	1	7	0	7.45702420806405e-05	0.00655949935662449
206	5	1	NaN	0100010111.jpg	NaN	0	3	0	1.3628286501817e-09	2.64338041827639e-07
218	5	2	4.76388756703818	1110111111.jpg	2	1	7	0	0.000234710272266015	0.00639191783399671
230	5	2	4.52737894502934	1111111111.jpg	2	1	8	0	2.61906796751727e-06	1
242	5	2	4.54594608099433	1111110011.jpg	2	1	6	1	1.00000000000151	4.57953802964977e-05
254	5	2	NaN	0101101111.jpg	NaN	0	5	0	0.000289721211874438	1.56939553030547e-07
