onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	2	NaN	0010010011.jpg	NaN	0	6	1	1.99642522055445	0.0274468597968421
14	5	1	1.36265282402746	1100101111.jpg	1	1	3	0	1.99642237801484	0.00445711400129112
26	5	2	1.89340060111135	0010000011.jpg	2	1	7	0	1.9964223782287	0.163265104899308
38	5	1	2.08054238092154	1101101111.jpg	1	1	2	1	1.99642522055445	0.0274468597968421
50	5	1	1.56546069704928	1111110011.jpg	2	0	2	1	1.99642522055445	5.92916554071555e-16
62	5	1	2.42420612182468	0111011011.jpg	2	0	3	0	0.107428315258225	4.12765242900757e-16
74	5	1	1.61891063209623	0111111111.jpg	1	1	1	0	0.116165770901258	0.0312714643682404
86	5	2	1.62242353498004	0001000011.jpg	2	1	7	0	1.99642237835493	0.16239067180297
98	5	2	1.28969793906435	0001101011.jpg	1	0	5	0	0.00625091938245848	2.59591819954168e-15
110	5	2	1.88433439517394	1010100011.jpg	2	1	5	0	1.99642519780515	1.29045270280179e-13
122	5	2	1.40003573102877	0000000011.jpg	2	1	8	0	1.9964223706453	1
134	5	1	1.27568651596084	1111111111.jpg	1	1	0	0	1.9964223706453	1
146	5	2	1.63943526288494	0000101011.jpg	1	0	6	0	0.00625091935833356	4.21552913910183e-16
158	5	2	1.54548638802953	0101000011.jpg	2	1	6	1	1.99642522055445	0.0273307899813155
170	5	1	1.22994267009199	1010111111.jpg	1	1	2	1	1.99642522055445	0.0273307899813155
182	5	2	2.38385136798024	0001010011.jpg	2	1	6	0	1.99642237043371	0.0272998569047561
194	5	1	1.22007778612897	1011111011.jpg	1	1	2	0	0.107428162300355	3.02447584433384e-12
206	5	1	1.18303805799223	0111011111.jpg	1	1	2	1	1.99642522055445	7.90403254631302e-13
218	5	1	1.13812323799357	1111101111.jpg	1	1	1	0	1.99642519780515	0.168112223452584
230	5	1	1.35036248201504	1101111011.jpg	1	1	2	0	0.107428162312009	2.9339478188716e-12
242	5	2	1.96937666181475	0000001111.jpg	1	0	6	1	1.99642522055445	5.92916554071555e-16
254	5	2	1.46734746498987	1000100011.jpg	2	1	6	1	1.99642522055445	7.90403254631302e-13
