onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	1	2.31399533711374	0010111111.jpg	1	1	3	0	0.129512918826068	0.000325742987572785
14	5	1	1.35857715411112	0011111011.jpg	1	1	3	0	3.67305900471223e-05	0.999989455980925
26	5	2	NaN	0111001111.jpg	NaN	0	7	0	0.999999895215944	0.000282103370426226
38	5	1	1.82930066296831	1110110111.jpg	1	1	2	0	0.00028360561286758	1.12546033038527e-07
50	5	2	1.61723657697439	0101000011.jpg	2	1	6	1	1.0000000263565	0.000325744650923
62	5	1	1.45940518612042	1010100011.jpg	1	1	1	0	0.000283605630432941	0.999997798177802
74	5	1	2.34325217921287	1000100011.jpg	1	1	2	1	1.0000000263565	0.000282102749284806
86	5	2	2.50632493989542	0001101111.jpg	1	0	6	0	3.67305911467316e-05	1.22523992262863e-07
98	5	1	1.61375917773694	1010011011.jpg	1	1	2	0	0.12951289819401	0.000132984500959507
110	5	2	1.77785312291235	0101011111.jpg	2	1	7	0	0.000283605630432941	0.999997798177802
122	5	1	1.79659056803212	1010111011.jpg	1	1	1	0	0.000283605633992744	0.999997142879568
134	5	2	3.14386230614036	0100101011.jpg	1	0	5	0	3.67305900471223e-05	1.08297105927707e-07
146	5	1	1.60291066719219	1010110011.jpg	1	1	0	0	0.000283605642483087	1
158	5	1	1.92718231119215	1010111111.jpg	1	1	2	1	1.0000000263565	0.000325744650923
170	5	2	1.28951594373211	0100000111.jpg	2	1	6	0	0.00028360561286758	0.99999456225436
182	5	2	2.06910885823891	0111011111.jpg	2	1	6	1	1.0000000263565	0.000282102749284806
194	5	2	2.67265916569158	0111111111.jpg	1	0	5	0	3.6730593882713e-05	1.1254563747288e-07
