onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	1	1.65834974707104	1101101111.jpg	1	1	2	1	1.14285678297211	4.25253767817174e-05
14	5	1	1.26258578093257	1111111111.jpg	1	1	0	0	0.780819223714097	1
26	5	2	0.809141685022041	0101000011.jpg	2	1	6	1	1.14285678297211	0.00136493278627553
38	5	2	1.50984014710411	1000100011.jpg	2	1	6	1	1.14285678297211	3.98484448185647e-06
50	5	1	1.73611382499803	1110011011.jpg	1	1	3	0	0.0460755907512969	9.65699232389349e-10
62	5	2	2.49946939200163	0010010011.jpg	2	1	6	1	1.14285678297211	4.25253767817174e-05
74	5	2	1.66272277093958	0000101011.jpg	2	1	6	0	0.0314796357298801	1.37685280146802e-08
86	5	2	2.37028305593412	0000010011.jpg	2	1	7	0	1.14285667301843	4.2525478837214e-05
98	5	1	0.741676192963496	1010111111.jpg	1	1	2	1	1.14285678297211	0.00136493278627553
110	5	2	1.61723990691826	1000000011.jpg	2	1	7	0	0.288786535801588	0.00020521732921143
122	5	2	1.17148721695412	0000001111.jpg	1	0	6	1	1.14285678297211	6.93893140508271e-13
134	5	2	1.67105755105149	0010001011.jpg	2	1	6	0	0.124578915845088	7.09070021852691e-07
146	5	1	1.45028191793244	1101111111.jpg	1	1	1	0	0.78081919862525	0.999997600132922
158	5	1	0.814174950006418	1100011111.jpg	1	1	3	0	0.197303890202187	0.00148023054692253
170	5	2	0.921545427059755	0101001011.jpg	2	1	5	0	0.182341643476419	9.67835353820686e-10
182	5	1	2.03682308096904	1111110011.jpg	1	1	2	1	1.14285678297211	6.93893140508271e-13
194	5	2	1.23178132507019	0000000011.jpg	2	1	8	0	0.780819223714097	1
206	5	1	0.8111803450156	1101110111.jpg	1	1	2	0	0.124578915845088	7.09070021852691e-07
218	5	2	2.06207945698407	0010001111.jpg	2	1	5	0	1.14285667301843	6.93892585424491e-13
230	5	1	2.80984042305499	1101111011.jpg	1	1	2	0	0.182341625933421	6.52394647918979e-07
242	5	1	0.860896393074654	1111011111.jpg	1	1	1	0	0.197303883862535	0.0194176802571627
254	5	1	0.896361174993217	0111011111.jpg	1	1	2	1	1.14285678297211	3.98484448185647e-06
