onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	2	3.1083337678574	0111100111.jpg	1	0	5	0	7.10803051562114e-07	2.32921717314722e-11
14	5	2	1.59111737785861	0101001011.jpg	2	1	7	0	9.54461543308711e-07	0.0055178242278579
26	5	1	2.46640465594828	1010110011.jpg	1	1	0	0	6.09299444553091e-08	1
38	5	2	2.38206527708098	0100000011.jpg	2	1	5	0	0.00674473724428154	1.04214132432492e-10
50	5	1	2.08918822230771	1111110011.jpg	1	1	2	1	1	5.79064362867853e-05
62	5	2	3.20376939885318	1101101111.jpg	2	1	6	1	1	5.86212445087514e-09
74	5	1	2.50372034218162	1110100011.jpg	1	1	2	0	6.50172873448349e-05	4.23757215902992e-05
86	5	1	2.37194439629093	1010111111.jpg	1	1	2	1	1	8.4037119280865e-09
98	5	2	1.91055140597746	0101001111.jpg	2	1	8	0	6.09299444553091e-08	1
110	5	1	2.5210304860957	0001110011.jpg	1	1	3	0	8.28278221152499e-07	4.69240705548718e-11
122	5	1	2.71765598515049	1010000011.jpg	1	1	2	0	0.000122803613530783	6.62264106408604e-09
134	5	2	2.62419792590663	0000001111.jpg	2	1	6	1	1	5.79064362867853e-05
146	5	1	1.63573500607163	1010100011.jpg	1	1	1	0	1.34116760038771e-06	0.0090749810883647
158	5	1	2.74350537080318	0011100011.jpg	1	1	3	0	8.30854287959977e-10	9.04004794883685e-07
170	5	1	1.88982493709773	1110110011.jpg	1	1	1	0	0.00674473724428154	0.00466951073260421
182	5	2	1.94884552294388	0101000011.jpg	2	1	6	1	1	8.4037119280865e-09
194	5	2	1.80921500362456	0101011011.jpg	2	1	6	0	1.69601781385761e-08	5.00741505167311e-05
206	5	2	1.81987545499578	0111011111.jpg	2	1	6	1	1	4.27480589933886e-09
218	5	2	NaN	0001001111.jpg	NaN	0	7	0	0.00674473724428154	0.00466951073260421
230	5	1	2.28212314471602	1000100011.jpg	1	1	2	1	1	4.27480589933886e-09
242	5	1	2.23761763703078	0010010011.jpg	1	1	2	1	1	5.86212445087514e-09
254	5	2	1.72131113708019	1101011111.jpg	2	1	6	0	2.04259638604991e-08	7.28979430046252e-05
