onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	2	3.58291873987764	0101011011.jpg	2	1	6	0	1.41298508117398e-06	2.46519180661529e-07
14	5	2	4.32162886392325	0101001011.jpg	2	1	7	0	0.000262911880819289	7.4880593979023e-05
26	5	1	2.62827763240784	1010010011.jpg	1	1	1	0	0.00387580209840869	0.000669264722305857
38	5	2	4.79280433338135	0000011111.jpg	2	1	5	0	0.00537420023807844	1.42462583446276e-08
50	5	2	4.22700982540846	1101101111.jpg	2	1	6	1	1.00000000000001	3.08194318686421e-06
62	5	1	3.76733056269586	0111110011.jpg	1	1	3	0	0.00387580209840869	1.99271906065311e-08
74	5	2	3.20982202887535	0111011111.jpg	2	1	6	1	1.00000000000001	9.63296788595143e-07
86	5	2	3.18948871921748	0101001111.jpg	2	1	8	0	2.45401428582016e-07	1
98	5	2	3.93604944646358	1101001011.jpg	2	1	6	0	1.0192127496522e-06	3.44822801430029e-07
110	5	1	2.10004562884569	1010110011.jpg	1	1	0	0	2.45401428582016e-07	1
122	5	1	2.61511225160211	0010101011.jpg	1	1	3	0	4.05703863853235e-09	1.48082869996096e-08
134	5	2	NaN	0000001111.jpg	NaN	0	6	1	1.00000000000001	4.3273236550569e-06
146	5	1	2.53390490822494	0110110011.jpg	1	1	2	0	5.95307271030977e-07	1.29298739027073e-05
158	5	2	2.5931810606271	1001011111.jpg	2	1	5	0	3.20037861916546e-09	4.25672627950691e-08
170	5	2	2.54926280397922	0101101111.jpg	2	1	7	0	0.00387580209840869	0.000669264722305857
182	5	1	2.56016902439296	1100110011.jpg	1	1	2	0	6.61626587292423e-06	8.21573214991265e-07
194	5	1	2.70643099490553	0010010011.jpg	1	1	2	1	1.00000000000001	3.08194318686421e-06
206	5	1	2.34214002080262	1000100011.jpg	1	1	2	1	1.00000000000001	9.63296788595143e-07
218	5	2	3.28199283685535	0101000011.jpg	2	1	6	1	1.00000000000001	7.31418552053576e-08
230	5	1	2.91710204444826	1000110011.jpg	1	1	1	0	0.00537420023807844	0.000292602934650223
242	5	1	3.52037202659994	1111110011.jpg	1	1	2	1	1.00000000000001	4.3273236550569e-06
254	5	1	2.70761107094586	1010111111.jpg	1	1	2	1	1.00000000000001	7.31418552053576e-08
