onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	1	2.04446961078793	0010110011.jpg	1	1	1	0	8.41073589061023e-08	0.000258098760993516
14	5	2	2.7115738671273	1101101111.jpg	2	1	6	1	1	1.07763057828138e-08
26	5	2	1.57171564269811	0110001111.jpg	2	1	6	0	9.87949654230934e-11	3.74850000352957e-08
38	5	1	2.35151155013591	1100111011.jpg	1	1	3	0	2.40631492953385e-11	1.02686182053414e-12
50	5	2	1.2096766140312	0101001111.jpg	2	1	8	0	8.77077148069076e-11	1
62	5	1	1.53344001434743	1110110011.jpg	1	1	1	0	0.000135628861693318	2.51933539403605e-05
74	5	2	1.23295386321843	0111000111.jpg	2	1	6	0	1.41450665605754e-10	4.07592342958044e-08
86	5	1	1.27678624168038	1111110011.jpg	1	1	2	1	1	3.54688112349105e-09
98	5	2	2.51137057691813	0111011111.jpg	2	1	6	1	1	7.69906416973652e-09
110	5	1	1.90694707632065	1001110011.jpg	1	1	2	0	9.87949654230934e-11	3.74850000352957e-08
122	5	2	4.1659895433113	0111011011.jpg	2	1	5	0	1.29515558293351e-07	8.04097507378696e-13
134	5	2	1.52199742756784	0001001111.jpg	2	1	7	0	0.000135628861693318	2.51933539403605e-05
146	5	1	4.09343628585339	0111110011.jpg	1	1	3	0	0.000395592745522715	9.1544562850384e-13
158	5	2	1.19213674683124	0101011111.jpg	2	1	7	0	0.00106727641527	2.89161899319489e-05
170	5	1	2.56365794688463	1100110011.jpg	1	1	2	0	1.44753487061487e-07	6.70784253022945e-09
182	5	2	4.17439521104097	1101101011.jpg	2	1	5	0	1.29515558293351e-07	1.12548751339193e-12
194	5	1	3.18516360130161	1000100011.jpg	1	1	2	1	1	7.69906416973652e-09
