onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	1	3.44257591478527	1000101111.jpg	2	0	2	1	1.27365574845447	3.17615632017983e-05
14	5	1	2.61484842374921	0000010111.jpg	1	1	2	0	1.27362454100713	0.228256285407483
26	5	1	2.16972320619971	0000000111.jpg	1	1	1	0	1.27364047677915	0.228256310613635
38	5	2	1.69280767813325	1111010011.jpg	2	1	7	0	0.00265176006632221	0.388548577350544
50	5	1	3.71312367264181	0110101111.jpg	2	0	3	0	0.000215739010057857	2.31711442794767e-05
62	5	1	1.81170043721795	0000001011.jpg	1	1	1	0	1.27350295956934	0.999999747098015
74	5	2	1.43994128052145	0010110011.jpg	1	0	5	0	0.00265176006632221	0.08868859117663
86	5	2	3.37002131063491	1100100011.jpg	2	1	5	0	0.10361966078925	0.999998794887002
98	5	1	1.58152379933745	0001010111.jpg	1	1	3	0	0.103617121874845	0.228256144530123
110	5	2	NaN	1111111111.jpg	NaN	0	6	1	1.27365574845447	0.228256252861555
122	5	2	1.95639155991375	1011100011.jpg	2	1	6	0	0.103618364270944	2.40598124140861e-05
134	5	1	1.30425254162401	0000001111.jpg	1	1	0	0	1.27351822617382	1.00000000011218
146	5	2	1.85009122267365	1110100011.jpg	2	1	6	0	0.103609768665691	0.99999927249369
158	5	1	1.54202815890312	0101001111.jpg	1	1	2	1	1.27365574845447	2.40598066328704e-05
170	5	1	2.24159100092947	0110001111.jpg	2	0	2	0	0.103609768665691	2.40598082252518e-05
182	5	2	2.42114190757275	1101110011.jpg	2	1	7	0	1.27363981209488	0.999999522505146
194	5	2	1.70454831514508	0111010011.jpg	2	1	6	1	1.27365574845447	3.17615632017983e-05
