onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	2	2.54301783198025	0000001011.jpg	2	1	7	0	0.0723178306261734	0.00304299465668761
14	5	1	3.02723541803425	1101111111.jpg	1	1	1	0	0.0233485904550775	8.62401651402855e-12
26	5	2	NaN	0101000011.jpg	NaN	0	6	1	1.00000000003466	1.48651060991471e-05
38	5	2	3.08021148300031	1000100011.jpg	2	1	6	1	1.00000000003466	2.06978491681337e-12
50	5	1	2.68515269301133	1010111111.jpg	1	1	2	1	1.00000000003466	1.48651060991471e-05
62	5	2	NaN	0000110111.jpg	NaN	0	5	0	3.93091780544302e-05	2.21302892240211e-13
74	5	2	2.77959202398779	0000000011.jpg	2	1	8	0	0.00523461515611778	1
86	5	1	1.57455675100209	1111111011.jpg	1	1	1	0	0.0723833743155813	0.0157403000569794
98	5	1	2.7923110530246	0111011111.jpg	1	1	2	1	1.00000000003466	2.06978491681337e-12
110	5	1	1.71647921402473	1111111111.jpg	1	1	0	0	0.00523461515611778	1
122	5	2	2.49625877902145	1000000111.jpg	2	1	6	0	0.00168510408116543	7.84794907773111e-05
134	5	1	3.87560914200731	1101011111.jpg	2	0	2	0	2.84533470473965e-06	1.20231266799392e-13
146	5	1	2.11816938203992	1111001011.jpg	1	1	3	0	3.93091780544302e-05	2.21302892240211e-13
158	5	2	1.76168778300053	0000001111.jpg	2	1	6	1	1.00000000003466	4.7897648968048e-05
170	5	1	2.56552467099391	1101101111.jpg	1	1	2	1	1.00000000003466	2.92079860317686e-13
182	5	1	2.94513652502792	1111110011.jpg	1	1	2	1	1.00000000003466	4.7897648968048e-05
194	5	2	2.74825153202983	0000101011.jpg	2	1	6	0	0.00168510408116543	1.26323234796433e-12
206	5	2	2.56648608401883	0010010011.jpg	2	1	6	1	1.00000000003466	2.92079860317686e-13
218	5	1	2.78683606901905	1111001111.jpg	1	1	2	0	0.000543561355496732	1.40596360612296e-11
230	5	1	2.90153283299878	1101011011.jpg	2	0	3	0	3.93448050710749e-05	7.63843527664497e-12
242	5	2	2.24958060996141	0100000011.jpg	2	1	7	0	8.23136806898755e-05	0.00370412465422945
254	5	2	2.38871047698194	1100010011.jpg	2	1	5	0	4.47425358659362e-08	6.25490608688166e-07
