onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	2	2.67586434300756	1001010011.jpg	2	1	5	0	1.2996318405473e-05	2.17785142976438e-12
14	5	1	1.1034826660034	0011001111.jpg	1	1	2	0	0.0176174335347248	0.000340797546472882
26	5	2	2.05885559400485	1110110111.jpg	2	1	6	0	0.0184446970871467	4.40205313094394e-17
38	5	2	2.53453197299677	0111010011.jpg	2	1	6	1	1.00000013900803	4.6077161299268e-17
50	5	1	1.38470729300752	0101001111.jpg	1	1	2	1	1.00000013900803	0.000338655914824205
62	5	1	3.00416372698965	0000011111.jpg	1	1	1	0	0.0176179971898681	0.0076925619752366
74	5	1	2.27198850699642	0000001111.jpg	1	1	0	0	0.999936152868898	1
86	5	2	2.50815477399738	1111111111.jpg	2	1	6	1	1.00000013900803	3.12449150820971e-17
98	5	2	2.67864549600927	1101100011.jpg	2	1	6	1	1.00000013900803	5.88634720333126e-05
110	5	1	1.9773204929952	0111001111.jpg	1	1	3	0	0.0176179971898681	2.59139452309155e-06
122	5	2	2.20475517801242	1111110011.jpg	2	1	8	0	0.999936152868898	1
134	5	1	3.01686314800463	1000101111.jpg	1	1	2	1	1.00000013900803	4.6077161299268e-17
146	5	2	1.8845470870001	1010110011.jpg	2	1	6	1	1.00000013900803	0.000338655914824205
158	5	2	NaN	1111110111.jpg	NaN	0	7	0	0.0184452872148987	9.88402159188367e-16
170	5	2	2.12930893299927	1111011111.jpg	1	0	5	0	0.000737672964423766	2.45399667325896e-17
182	5	2	1.38208448300429	1011110011.jpg	2	1	7	0	0.999968145386585	0.00760391191166557
194	5	1	1.33736628098995	0000001011.jpg	1	1	1	0	0.0184452872148987	9.88402159188367e-16
206	5	1	1.38811560100294	0011011111.jpg	1	1	3	0	0.999968145386585	2.62160624725122e-06
218	5	1	3.14314219199878	1000001011.jpg	2	0	2	0	1.36065878094464e-05	2.35866636644813e-17
230	5	1	2.26646538700152	0010011111.jpg	1	1	2	1	1.00000013900803	5.88634720333126e-05
242	5	1	4.20569340899237	0000000011.jpg	1	1	2	1	1.00000013900803	3.12449150820971e-17
254	5	2	1.40139377801097	0011110011.jpg	2	1	6	0	0.000737672964010377	9.36066031610674e-12
