onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	2	1111110011.jpg	6	5
14	5	2	0111011111.jpg	6	6
26	5	2	1101101111.jpg	6	8
38	5	1	0000001111.jpg	2	1
50	5	1	0010010011.jpg	2	4
62	5	1	1000100011.jpg	2	2
74	5	2	1010111111.jpg	6	7
86	5	1	0101000011.jpg	2	3
98	5	2	1111110011.jpg	6	5
110	5	1	0010010011.jpg	2	4
122	5	1	1000100011.jpg	2	2
134	5	2	1010111111.jpg	6	7
146	5	1	0101000011.jpg	2	3
158	5	1	0000001111.jpg	2	1
170	5	2	0111011111.jpg	6	6
182	5	2	1101101111.jpg	6	8
194	5	1	0010010011.jpg	2	4
206	5	2	1010111111.jpg	6	7
218	5	1	1000100011.jpg	2	2
230	5	1	0000001111.jpg	2	1
242	5	2	1111110011.jpg	6	5
254	5	2	1101101111.jpg	6	8
266	5	2	0111011111.jpg	6	6
278	5	1	0101000011.jpg	2	3
