onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	1	2.67299903799994	0100111111.jpg	2	0	3	0	0.124793532661087	0.000178950740800178
14	5	2	1.03717113700077	0000000111.jpg	2	1	7	0	0.129561227505864	0.999998766607948
26	5	1	2.77687761899961	1111010111.jpg	1	1	2	0	0.0118924591904842	0.000150320745301826
38	5	2	0.955171675999736	0101000011.jpg	2	1	6	1	1.50834898509106	0.607733985437061
50	5	2	0.847207351000179	0011010011.jpg	2	1	5	0	1.50834888177116	0.602793731510423
62	5	1	1.3382378440001	1111111111.jpg	1	1	0	0	1.43201885062288	1.00000000557714
74	5	2	NaN	0010010011.jpg	NaN	0	6	1	1.50834898509106	0.602798196128935
86	5	1	1.02449123699989	1011111111.jpg	1	1	1	0	1.50834888177116	0.607738486645784
98	5	1	0.796341528999619	1101111111.jpg	1	1	1	0	1.44295354316999	0.607739495042036
110	5	2	2.6560751800007	1000001011.jpg	1	0	6	0	0.0112906405419594	0.366340141522378
122	5	2	1.21020461600074	0000100011.jpg	2	1	7	0	0.124793585264241	0.999999026134538
134	5	2	2.04613274399981	0010001111.jpg	2	1	5	0	1.43201829115891	0.000178151778730017
146	5	1	2.09674843799985	1111110011.jpg	1	1	2	1	1.50834898509106	0.000150320749704451
158	5	1	2.34866344999955	1110010111.jpg	1	1	3	0	0.0118924583758668	0.000150320870950263
170	5	1	1.6158445129995	0111011111.jpg	1	1	2	1	1.50834898509106	0.000252745483646629
182	5	1	1.55545974699999	1110101111.jpg	1	1	2	0	1.43201826353379	0.99186203907319
194	5	2	0.757801716999893	0011000011.jpg	2	1	6	0	1.44295349678516	0.607734993825844
