onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	2	3.58092213212512	0111010111.jpg	2	1	5	0	0.0319924598526489	3.27730533037989e-15
14	5	2	1.43185111088678	1111111111.jpg	2	1	8	0	0.0216691103782905	1
26	5	1	3.77866514306515	1100010011.jpg	1	1	3	0	0.000123055057089603	1.33715367448856e-14
38	5	1	1.85371676809154	0000000111.jpg	1	1	1	0	0.0319924598526489	1.82205661684778e-11
50	5	1	1.2174030370079	0000001111.jpg	1	1	2	1	1.00000000000003	6.10335865715192e-13
62	5	2	NaN	1110010111.jpg	NaN	0	5	0	2.46483683650464e-05	9.93039312967656e-14
74	5	2	1.51258072792552	1011011111.jpg	2	1	6	0	1.66948160203387e-05	0.024328724865557
86	5	1	1.40326394001022	0010100011.jpg	1	1	2	0	0.00581557613772009	0.0252302849769744
98	5	2	2.19050234905444	0011111111.jpg	2	1	6	0	0.000770443050599196	9.37800361858921e-14
110	5	1	3.92179222893901	0100010111.jpg	1	1	3	0	0.000108121802704413	3.96727883277654e-13
122	5	1	2.4382080049254	0001100011.jpg	1	1	2	0	0.000770443050599196	2.96455435870835e-12
134	5	2	1.83348924596794	1110111111.jpg	2	1	7	0	0.0211595642699539	1.86080130689162e-11
146	5	2	1.80400329688564	1010111111.jpg	2	1	6	1	1.00000000000003	2.84158030300064e-12
158	5	2	3.0069647799246	1111110011.jpg	2	1	6	1	1.00000000000003	6.10335865715192e-13
170	5	1	2.83476540911943	0100000011.jpg	1	1	1	0	0.000458508941343882	0.152707346693955
182	5	2	1.42190538183786	1111011111.jpg	2	1	7	0	0.000788996197172631	0.159316007986929
194	5	1	2.07420726399869	1000100011.jpg	1	1	2	1	1.00000000000003	9.7838521311935e-14
