onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	2	2.74542638473213	1000100011.jpg	2	1	6	1	1.12499985240734	0.0283799045972325
14	5	1	1.3183082761243	1011111111.jpg	1	1	1	0	1.12499960008099	0.00054422674664019
26	5	2	1.62443754123524	0101000011.jpg	2	1	6	1	1.12499985240734	8.81626565608728e-06
38	5	2	2.99502578098327	1001000011.jpg	2	1	6	0	1.12499934775483	0.0161994629276638
50	5	1	2.5195857938379	1111101111.jpg	1	1	1	0	0.245749991915952	7.24285999292291e-09
62	5	1	1.61024113791063	0110110111.jpg	1	1	3	0	0.537364824368592	8.62820263656766e-06
74	5	2	1.6053287293762	0000000011.jpg	2	1	8	0	1.12499951597226	1
86	5	1	1.48224759707227	1111110011.jpg	1	1	2	1	1.12499985240734	8.71258031733939e-06
98	5	1	1.80432797083631	1111111111.jpg	1	1	0	0	1.12499951597226	1
110	5	1	2.91985242720693	0111011111.jpg	1	1	2	1	1.12499985240734	0.0283799045972325
122	5	2	3.64273913670331	0100101011.jpg	2	1	5	0	0.537364824368592	8.22649359227651e-09
134	5	1	1.86326590692624	0011111111.jpg	1	1	2	0	1.12499951597217	0.000544221521230375
146	5	2	4.32987490203232	1010010011.jpg	2	1	5	0	1.12499976829849	6.53979644487681e-12
158	5	1	4.13277639495209	1101101111.jpg	2	0	2	1	1.12499985240734	6.53981737561836e-12
170	5	2	2.45620684092864	0100000011.jpg	2	1	7	0	1.12499960008099	0.00054422674664019
182	5	1	1.46673263190314	0111111011.jpg	1	1	2	0	0.537365025244586	0.0163577250846264
194	5	1	4.27917029475793	1011100111.jpg	2	0	3	0	0.117384363285786	4.52697743776854e-09
206	5	2	3.08199377730489	0010010011.jpg	2	1	6	1	1.12499985240734	6.53981737561836e-12
218	5	2	4.0845739338547	0011000011.jpg	2	1	6	0	0.245749863304308	9.75147075253267e-06
230	5	2	2.39251719275489	0000000111.jpg	2	1	7	0	0.537365065419844	0.016357882145334
242	5	2	2.69268116820604	0000001111.jpg	2	1	6	1	1.12499985240734	8.71258031733939e-06
254	5	1	1.91926170606166	1010111111.jpg	1	1	2	1	1.12499985240734	8.81626565608728e-06
