onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	1	1.19076064880937	1011001111.jpg	1	1	3	0	0.254968120574592	0.99999550597305
14	5	2	1.2903036349453	0000100011.jpg	2	1	7	0	0.254968174273075	0.999996889363915
26	5	1	3.8458041138947	0011111111.jpg	1	1	2	0	0.254968190392551	0.000269841470692336
38	5	1	1.47413613088429	1101101111.jpg	1	1	2	1	1.85656478737335	0.99999797743697
50	5	2	2.11798474914394	0101000011.jpg	2	1	6	1	1.85656478737335	0.626783393169453
62	5	1	1.88982386793941	1111011111.jpg	1	1	1	0	0.254968174273075	0.999996889363915
74	5	2	2.93928113300353	0001001111.jpg	1	0	5	0	1.85656337119179	0.000269842433186341
86	5	1	1.15135507681407	1010111111.jpg	1	1	2	1	1.85656478737335	0.626783393169453
98	5	1	3.08348471298814	0111111111.jpg	2	0	1	0	0.254968279577394	0.000269841383693895
110	5	2	1.15883232699707	0000000011.jpg	2	1	8	0	1.8565640205944	1.00000000947884
122	5	1	1.29015536699444	1100111111.jpg	1	1	2	0	1.85656362958613	0.626782986607932
134	5	2	0.963934989878908	0001000011.jpg	2	1	7	0	1.85656413796928	0.626783685061604
146	5	2	1.40692501608282	0110000011.jpg	2	1	6	0	1.85656387957344	0.999998429435266
158	5	1	1.93851961614564	1011100111.jpg	1	1	3	0	1.78679985271005	0.000390306531829968
170	5	2	1.11026678187773	0000111011.jpg	2	1	5	0	0.245387312550828	0.000390305633931157
182	5	2	1.58599598496221	0010010011.jpg	2	1	6	1	1.85656478737335	0.99999797743697
194	5	2	1.63698517601006	1010000011.jpg	1	0	6	0	0.254968209759302	0.000269841591868141
