onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	1	0000001111.jpg	2	1
14	5	1	0101000011.jpg	2	3
26	5	2	1111110011.jpg	6	5
38	5	2	1010111111.jpg	6	7
50	5	1	0010010011.jpg	2	4
62	5	2	0111011111.jpg	6	6
74	5	1	1000100011.jpg	2	2
86	5	2	1101101111.jpg	6	8
98	5	1	0101000011.jpg	2	3
110	5	1	0000001111.jpg	2	1
122	5	2	1111110011.jpg	6	5
134	5	2	1010111111.jpg	6	7
146	5	2	0111011111.jpg	6	6
158	5	1	1000100011.jpg	2	2
170	5	1	0010010011.jpg	2	4
182	5	2	1101101111.jpg	6	8
194	5	1	1000100011.jpg	2	2
206	5	2	1101101111.jpg	6	8
218	5	2	0111011111.jpg	6	6
230	5	1	0101000011.jpg	2	3
242	5	1	0010010011.jpg	2	4
254	5	2	1111110011.jpg	6	5
266	5	2	1010111111.jpg	6	7
278	5	1	0000001111.jpg	2	1
