onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	2	3.93683178198989	0000001111.jpg	2	1	6	1	2.15306265935018	0.89675883569433
14	5	1	2.95249248400796	1110011111.jpg	1	1	2	0	0.327472755713508	0.716810374914728
26	5	1	2.84335299604572	1111100111.jpg	1	1	2	0	2.1530625288866	0.896758833145117
38	5	2	4.29174685198814	0000110111.jpg	2	1	5	0	0.3274727665329	0.716810359063175
50	5	2	2.34158468106762	0000101011.jpg	1	0	6	0	0.327472783412306	0.628532874583598
62	5	2	4.77337372407783	0101000011.jpg	2	1	6	1	2.15306265935018	1.06171057034748
74	5	1	3.48586212901864	1111110011.jpg	1	1	2	1	2.15306265935018	0.89675883569433
86	5	1	1.21216863708105	1111111111.jpg	2	0	0	0	2.15306251873506	1.06171075940231
98	5	1	3.65659840707667	1101101111.jpg	1	1	2	1	2.15306265935018	1.06171062515887
110	5	1	3.81871555896942	1111101111.jpg	1	1	1	0	2.15306254837171	1.06171070822134
122	5	2	2.79075398202986	0000000011.jpg	2	1	8	0	2.15306251873506	1.06171075940231
134	5	2	NaN	1000100011.jpg	NaN	0	6	1	2.15306265935018	0.896758578462843
146	5	1	1.62562635203358	1111110111.jpg	1	1	1	0	2.15306255852334	0.896758873867137
158	5	1	1.26784457301255	1111000111.jpg	1	1	3	0	0.327472778904668	0.628532853583985
170	5	2	2.19072583504021	0000100111.jpg	2	1	6	0	0.327472762025277	0.716810387247414
182	5	1	1.08325879706535	1010111111.jpg	1	1	2	1	2.15306265935018	1.06171057034748
194	5	2	1.17485640093219	0000010011.jpg	2	1	7	0	2.15306254837171	1.06171070822134
206	5	1	1.81819563999306	0011101111.jpg	2	0	3	0	0.327472760221129	0.628532791944032
218	5	2	1.52958085190039	0010010011.jpg	2	1	6	1	2.15306265935018	1.06171062515887
230	5	1	1.46345696202479	0111011111.jpg	2	0	2	1	2.15306265935018	0.896758578462843
242	5	2	1.28349027805962	0100000011.jpg	2	1	7	0	2.15306251702475	1.06171064071994
254	5	2	1.28326297202148	0110000111.jpg	2	1	5	0	2.15306230521956	1.06171050968046
