onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	1	3.05334747605957	0010001111.jpg	2	0	1	0	2.1766118381394	0.95826561368064
14	5	2	2.76890091004316	1010110011.jpg	1	0	6	1	2.95624998030019	1.20263538123102
26	5	2	2.77129296900239	0111110111.jpg	2	1	6	0	2.95624978641531	0.901572972537961
38	5	1	3.03103610605467	1000101011.jpg	2	0	3	0	2.95624978641531	0.901572938143976
50	5	2	2.4822587959934	1111111111.jpg	1	0	6	1	2.95624998030019	0.901572401757984
62	5	2	2.24720365297981	0101010011.jpg	2	1	5	0	2.1766118381394	0.958265128494506
74	5	2	2.89636875304859	1111010011.jpg	2	1	7	0	2.95624998030019	1.20264011922124
86	5	1	2.38138396199793	0001100111.jpg	1	1	3	0	2.95624978641531	1.20262928617579
98	5	1	3.68857495195698	0010011111.jpg	2	0	2	1	2.95624998030019	0.901572013854124
110	5	1	3.29125696397386	0101001111.jpg	1	1	2	1	2.95624998030019	1.20263538123102
122	5	1	2.80673407600261	1000001111.jpg	2	0	1	0	2.95624998030019	1.20264009138559
134	5	1	2.92171964305453	0011001111.jpg	1	1	2	0	2.1766118381394	0.958265334356207
146	5	2	2.89356105891056	0101110011.jpg	2	1	6	0	2.1766118381394	0.958265365358753
158	5	2	3.04862937005237	0111010011.jpg	2	1	6	1	2.95624998030019	1.20263951591142
170	5	2	3.27629160997458	1101100011.jpg	1	0	6	1	2.95624998030019	0.901572013854124
182	5	1	3.33616950502619	1000101111.jpg	1	1	2	1	2.95624998030019	1.20263951591142
194	5	2	3.58614536304958	1011110011.jpg	2	1	7	0	2.95624998030019	1.20263605985783
206	5	1	3.4378235739423	0000001111.jpg	1	1	0	0	2.95624998030019	1.20264069469606
218	5	1	2.59300248499494	0000000011.jpg	2	0	2	1	2.95624998030019	0.901572401757984
230	5	1	3.78845571901184	0001001011.jpg	1	1	2	0	2.95624978641531	0.901572968036199
242	5	2	3.19119389192201	1111110011.jpg	2	1	8	0	2.95624998030019	1.20264069469606
254	5	2	2.33867560804356	0111101011.jpg	2	1	5	0	2.17661169538688	0.969062112697903
