onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	2	1101101111.jpg	6	8
14	5	1	0000001111.jpg	2	1
26	5	2	0111011111.jpg	6	6
38	5	2	1111110011.jpg	6	5
50	5	1	1000100011.jpg	2	2
62	5	1	0010010011.jpg	2	4
74	5	2	1010111111.jpg	6	7
86	5	1	0101000011.jpg	2	3
98	5	2	0111011111.jpg	6	6
110	5	1	0101000011.jpg	2	3
122	5	2	1010111111.jpg	6	7
134	5	1	0000001111.jpg	2	1
146	5	1	0010010011.jpg	2	4
158	5	2	1111110011.jpg	6	5
170	5	2	1101101111.jpg	6	8
182	5	1	1000100011.jpg	2	2
194	5	1	0101000011.jpg	2	3
206	5	1	0010010011.jpg	2	4
218	5	2	1010111111.jpg	6	7
230	5	2	1101101111.jpg	6	8
242	5	1	1000100011.jpg	2	2
254	5	1	0000001111.jpg	2	1
266	5	2	0111011111.jpg	6	6
278	5	2	1111110011.jpg	6	5
