onset	duration	trial_type	response_time	stim_file	response	correct	prot1distance	trainitem	exemplar	prototype
2	5	2	1.0672406530939	0101001011.jpg	2	1	7	0	2.13835140192101	1.02631405061949
14	5	1	2.76620946824551	1011110011.jpg	2	0	1	0	0.485632905813367	0.332156370767418
26	5	1	1.82540131080896	1010000011.jpg	1	1	2	0	2.13826879340063	0.332158562587867
38	5	2	3.61222334997728	0100100111.jpg	1	0	5	0	0.48563290511508	0.332158229763668
50	5	2	1.45576807809994	0101000011.jpg	2	1	6	1	2.13835140669168	1.02629179593474
62	5	1	2.62003453681245	1011111111.jpg	2	0	3	0	0.485632905046683	0.332158113025037
74	5	1	1.71140256803483	1110100011.jpg	1	1	2	0	0.485614144283244	0.332158650304537
86	5	1	1.87311622966081	1111110011.jpg	2	0	2	1	2.13835140669168	0.332156515225349
98	5	2	1.66847212007269	0100000111.jpg	1	0	6	0	0.48563290472992	0.332157997576077
110	5	2	2.52797132078558	0110000111.jpg	1	0	5	0	0.485614143199848	0.3321581821992
122	5	1	NaN	1000100011.jpg	NaN	0	2	1	2.13835140669168	0.332158610153522
134	5	1	4.16750131407753	0010110011.jpg	1	1	1	0	2.13835140465658	1.02631398209092
146	5	2	1.15339833684266	0111101111.jpg	2	1	6	0	2.13826879391082	1.02630992821425
158	5	2	1.04513935511932	1101001111.jpg	2	1	7	0	2.13835140465658	1.02631398209092
170	5	1	1.66513679502532	0110010011.jpg	1	1	3	0	0.485632905813367	1.02630882964375
182	5	2	1.43572567496449	0101001111.jpg	2	1	8	0	2.13835140331579	1.02631562988734
194	5	2	2.9029287006706	0000001111.jpg	2	1	6	1	2.13835140669168	0.332156515225349
