onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	1	0010010011.jpg	2	2
14	5	2	1101101111.jpg	6	6
26	5	1	1111110011.jpg	2	3
38	5	2	0000001111.jpg	6	7
50	5	1	1000100011.jpg	2	4
62	5	1	1010111111.jpg	2	1
74	5	2	0111011111.jpg	6	8
86	5	2	0101000011.jpg	6	5
98	5	1	1010111111.jpg	2	1
110	5	2	1101101111.jpg	6	6
122	5	2	0111011111.jpg	6	8
134	5	2	0000001111.jpg	6	7
146	5	1	1111110011.jpg	2	3
158	5	1	0010010011.jpg	2	2
170	5	1	1000100011.jpg	2	4
182	5	2	0101000011.jpg	6	5
194	5	1	1111110011.jpg	2	3
206	5	2	0111011111.jpg	6	8
218	5	2	0000001111.jpg	6	7
230	5	1	1000100011.jpg	2	4
242	5	1	1010111111.jpg	2	1
254	5	1	0010010011.jpg	2	2
266	5	2	0101000011.jpg	6	5
278	5	2	1101101111.jpg	6	6
